Customer Name,Invoice Date ,Credit Terms,Actual Delay over and above Agreed Credit Terms,Invoice Currency,Invoice Amount
6,2024-01-18,30,,USD,10155.0
6,2024-01-30,30,,USD,40738.05
6,2024-01-30,30,,USD,600.0
6,2024-01-30,30,,USD,4985.0
7,2023-12-28,30,-16.0,USD,8057.5
7,2023-12-31,30,4.0,USD,14237.5
7,2023-12-31,30,-12.0,USD,437.5
7,2023-12-31,30,13.0,USD,2375.0
7,2024-01-30,30,,USD,250.0
8,2023-10-30,30,-1.0,USD,520949.0
8,2023-10-30,30,-1.0,USD,23100.0
8,2023-10-30,30,-1.0,USD,46500.0
8,2023-10-31,30,-2.0,USD,73916.0
8,2023-10-31,30,-2.0,USD,68629.16
8,2023-10-31,30,-2.0,USD,72763.64
8,2023-10-31,30,-2.0,USD,75299.92
8,2023-10-31,30,-2.0,USD,31000.0
8,2023-11-30,30,2.0,USD,520949.0
8,2023-11-30,30,2.0,USD,23100.0
8,2023-11-30,30,2.0,USD,46500.0
8,2023-11-30,30,2.0,USD,20000.0
8,2023-11-30,30,2.0,USD,63555.36
8,2023-11-30,30,2.0,USD,67386.5
8,2023-11-30,30,2.0,USD,8711.84
8,2023-11-30,30,2.0,USD,61751.72
8,2023-11-30,30,2.0,USD,3756.0
8,2023-11-30,30,2.0,USD,8711.84
8,2023-11-30,30,2.0,USD,4176.8
8,2023-11-30,30,2.0,USD,4176.8
8,2023-11-30,30,2.0,USD,51602.69
8,2023-12-28,30,4.0,USD,520949.0
8,2023-12-28,30,4.0,USD,23100.0
8,2023-12-28,30,4.0,USD,46500.0
8,2023-12-31,30,1.0,USD,20000.0
8,2023-12-31,30,1.0,USD,38972.5
8,2023-12-31,30,1.0,USD,60113.43
8,2023-12-31,30,1.0,USD,59827.0
8,2023-12-31,30,-30.0,USD,76333.33
8,2023-12-31,30,1.0,USD,9547.2
8,2023-12-31,30,1.0,USD,9547.2
8,2023-12-31,30,1.0,USD,9547.2
8,2023-12-31,30,1.0,USD,9547.2
8,2023-12-31,30,1.0,USD,7637.76
8,2023-12-31,30,1.0,USD,60718.16
8,2023-12-31,30,1.0,USD,56942.93
8,2023-12-31,30,1.0,USD,44159.01
8,2023-12-31,30,-30.0,USD,-76333.33
8,2023-12-31,30,1.0,USD,93000.0
8,2024-01-15,30,,USD,463292.7
8,2024-01-31,30,,USD,520949.0
8,2024-01-31,30,,USD,23100.0
8,2024-01-31,30,,USD,43400.0
8,2024-01-31,30,,USD,20000.0
8,2024-01-31,30,,USD,48308.12
8,2024-01-31,30,,USD,52467.08
8,2024-01-31,30,,USD,55888.62
8,2024-01-31,30,,USD,60397.0
8,2024-01-31,30,,USD,7637.76
8,2024-01-31,30,,USD,9547.2
8,2024-01-31,30,,USD,6802.4
8,2024-01-31,30,,USD,9547.2
9,2023-10-31,60,4.0,USD,97152.0
9,2023-11-30,60,2.0,USD,97152.0
9,2023-12-29,60,,USD,92736.0
9,2024-01-31,60,,USD,101568.0
10,2023-10-30,30,-7.0,USD,66000.0
10,2023-10-31,30,-8.0,USD,96746.0
10,2023-10-31,30,-8.0,USD,21800.0
10,2023-10-31,30,-8.0,USD,23976.0
10,2023-10-31,30,-1.0,USD,45540.0
10,2023-10-31,30,-8.0,USD,4872.0
10,2023-10-31,30,-8.0,USD,4560.0
